"target_end_date","location","value","target_variable","model"
1997-12-14,"hhs10",2.54745060795237,"inc wili","observed data"
1997-12-14,"hhs2",3.60655737704918,"inc wili","observed data"
1997-12-14,"hhs3",2.12889631652428,"inc wili","observed data"
1997-12-14,"hhs4",3.03245016465512,"inc wili","observed data"
1997-12-14,"hhs5",1.66899715983086,"inc wili","observed data"
1997-12-14,"hhs6",3.86100386100386,"inc wili","observed data"
1997-12-14,"hhs7",1.66342215205377,"inc wili","observed data"
1997-12-14,"hhs8",1.32044405155679,"inc wili","observed data"
1997-12-14,"hhs9",2.95297321001881,"inc wili","observed data"
1997-12-14,"nat",2.50760628254817,"inc wili","observed data"
1997-12-21,"hhs1",1.07721096168215,"inc wili","observed data"
1997-12-21,"hhs10",2.54746311702341,"inc wili","observed data"
1997-12-21,"hhs2",3.5198684817734,"inc wili","observed data"
1997-12-21,"hhs3",3.40614183477516,"inc wili","observed data"
1997-12-21,"hhs4",4.80588715312017,"inc wili","observed data"
1997-12-21,"hhs5",2.53506055007506,"inc wili","observed data"
1997-12-21,"hhs6",5.27238300297959,"inc wili","observed data"
1997-12-21,"hhs7",0.953704706581635,"inc wili","observed data"
1997-12-21,"hhs8",3.28615437174128,"inc wili","observed data"
1997-12-21,"hhs9",7.90666415721784,"inc wili","observed data"
1997-12-21,"nat",4.11351694238239,"inc wili","observed data"
1997-12-28,"hhs1",3.24725874135511,"inc wili","observed data"
1997-12-28,"hhs10",2.69546332096591,"inc wili","observed data"
1997-12-28,"hhs2",1.41355122036131,"inc wili","observed data"
1997-12-28,"hhs3",4.19420768054435,"inc wili","observed data"
1997-12-28,"hhs4",3.92619676981411,"inc wili","observed data"
1997-12-28,"hhs5",3.81832952589726,"inc wili","observed data"
1997-12-28,"hhs6",6.59701234020473,"inc wili","observed data"
1997-12-28,"hhs7",2.30995403976891,"inc wili","observed data"
1997-12-28,"hhs8",1.62760841307992,"inc wili","observed data"
1997-12-28,"hhs9",15.9426250869135,"inc wili","observed data"
1997-12-28,"nat",5.62371997147913,"inc wili","observed data"
1998-01-04,"hhs1",3.26436677669128,"inc wili","observed data"
1998-01-04,"hhs10",3.345262548603,"inc wili","observed data"
1998-01-04,"hhs2",2.0369343250039,"inc wili","observed data"
1998-01-04,"hhs3",5.05134561261809,"inc wili","observed data"
1998-01-04,"hhs4",3.31603115468766,"inc wili","observed data"
1998-01-04,"hhs5",2.76374974147735,"inc wili","observed data"
1998-01-04,"hhs6",7.27426436484363,"inc wili","observed data"
1998-01-04,"hhs7",1.56188734098912,"inc wili","observed data"
1998-01-04,"hhs8",1.67439542082042,"inc wili","observed data"
1998-01-04,"hhs9",8.99298166032328,"inc wili","observed data"
1998-01-04,"nat",4.37397957609257,"inc wili","observed data"
1998-01-11,"hhs1",2.15485936393872,"inc wili","observed data"
1998-01-11,"hhs10",3.86847242137437,"inc wili","observed data"
1998-01-11,"hhs2",1.9230834033337,"inc wili","observed data"
1998-01-11,"hhs3",6.04282975141827,"inc wili","observed data"
1998-01-11,"hhs4",3.88533680475811,"inc wili","observed data"
1998-01-11,"hhs5",3.4141430747235,"inc wili","observed data"
1998-01-11,"hhs6",6.481924113967,"inc wili","observed data"
1998-01-11,"hhs7",2.92684910973379,"inc wili","observed data"
1998-01-11,"hhs8",4.83526633308858,"inc wili","observed data"
1998-01-11,"hhs9",5.63842491641475,"inc wili","observed data"
1998-01-11,"nat",4.19434105925446,"inc wili","observed data"
1998-01-18,"hhs1",4.1950733290547,"inc wili","observed data"
1998-01-18,"hhs10",7.90212225435957,"inc wili","observed data"
1998-01-18,"hhs2",7.36149955302273,"inc wili","observed data"
1998-01-18,"hhs3",5.42542838740416,"inc wili","observed data"
1998-01-18,"hhs4",2.9486903222147,"inc wili","observed data"
1998-01-18,"hhs5",4.49931702484637,"inc wili","observed data"
1998-01-18,"hhs6",5.62790887910017,"inc wili","observed data"
1998-01-18,"hhs7",6.96129047117345,"inc wili","observed data"
1998-01-18,"hhs8",9.37904241152285,"inc wili","observed data"
1998-01-18,"hhs9",6.6766555446257,"inc wili","observed data"
1998-01-18,"nat",5.42123497840406,"inc wili","observed data"
1998-01-25,"hhs1",4.28226169151136,"inc wili","observed data"
1998-01-25,"hhs10",5.28880205411034,"inc wili","observed data"
1998-01-25,"hhs2",7.05707593608478,"inc wili","observed data"
1998-01-25,"hhs3",5.19632174115777,"inc wili","observed data"
1998-01-25,"hhs4",4.38034545472596,"inc wili","observed data"
1998-01-25,"hhs5",6.15695373675193,"inc wili","observed data"
1998-01-25,"hhs6",6.06345816306946,"inc wili","observed data"
1998-01-25,"hhs7",8.2187974719783,"inc wili","observed data"
1998-01-25,"hhs8",8.29848713902847,"inc wili","observed data"
1998-01-25,"hhs9",4.79764224385351,"inc wili","observed data"
1998-01-25,"nat",5.66136567846826,"inc wili","observed data"
1998-02-01,"hhs1",5.03228321167022,"inc wili","observed data"
1998-02-01,"hhs10",5.05283475021375,"inc wili","observed data"
1998-02-01,"hhs2",8.10663403280984,"inc wili","observed data"
1998-02-01,"hhs3",4.75380905889251,"inc wili","observed data"
1998-02-01,"hhs4",3.73235998344758,"inc wili","observed data"
1998-02-01,"hhs5",6.54296050820247,"inc wili","observed data"
1998-02-01,"hhs6",10.373662933417,"inc wili","observed data"
1998-02-01,"hhs7",8.12635794652561,"inc wili","observed data"
1998-02-01,"hhs8",5.78398080940112,"inc wili","observed data"
1998-02-01,"hhs9",4.3319065324122,"inc wili","observed data"
1998-02-01,"nat",5.97801530997379,"inc wili","observed data"
1998-02-08,"hhs1",3.60087339059083,"inc wili","observed data"
1998-02-08,"hhs10",4.89051835743742,"inc wili","observed data"
1998-02-08,"hhs2",3.65923857386572,"inc wili","observed data"
1998-02-08,"hhs3",6.13277831540001,"inc wili","observed data"
1998-02-08,"hhs4",2.85373375112392,"inc wili","observed data"
1998-02-08,"hhs5",5.36764977363848,"inc wili","observed data"
1998-02-08,"hhs6",9.65896189858229,"inc wili","observed data"
1998-02-08,"hhs7",4.46488048091722,"inc wili","observed data"
1998-02-08,"hhs8",4.08613616900668,"inc wili","observed data"
1998-02-08,"hhs9",3.68600659074451,"inc wili","observed data"
1998-02-08,"nat",4.73580104248587,"inc wili","observed data"
1998-02-15,"hhs1",3.25056273075238,"inc wili","observed data"
1998-02-15,"hhs10",4.17196284485972,"inc wili","observed data"
1998-02-15,"hhs2",0.353381987929509,"inc wili","observed data"
1998-02-15,"hhs3",3.43070416602438,"inc wili","observed data"
1998-02-15,"hhs4",2.36917542224552,"inc wili","observed data"
1998-02-15,"hhs5",3.88995583474954,"inc wili","observed data"
1998-02-15,"hhs6",6.3287610747437,"inc wili","observed data"
1998-02-15,"hhs7",2.60365383015171,"inc wili","observed data"
1998-02-15,"hhs8",2.19655880760674,"inc wili","observed data"
1998-02-15,"hhs9",4.77553142691509,"inc wili","observed data"
1998-02-15,"nat",3.44581175619638,"inc wili","observed data"
1998-02-22,"hhs1",1.35400552455563,"inc wili","observed data"
1998-02-22,"hhs10",2.53365829818621,"inc wili","observed data"
1998-02-22,"hhs2",0.716496954340127,"inc wili","observed data"
1998-02-22,"hhs3",2.24141847075396,"inc wili","observed data"
1998-02-22,"hhs4",2.10114183318406,"inc wili","observed data"
1998-02-22,"hhs5",2.33767975533908,"inc wili","observed data"
1998-02-22,"hhs6",5.00680294017875,"inc wili","observed data"
1998-02-22,"hhs7",2.10151467214417,"inc wili","observed data"
1998-02-22,"hhs8",2.07960618408145,"inc wili","observed data"
1998-02-22,"hhs9",3.35501369969081,"inc wili","observed data"
1998-02-22,"nat",2.47799343564636,"inc wili","observed data"
1998-03-01,"hhs1",0.66422604090615,"inc wili","observed data"
1998-03-01,"hhs10",2.89543280514898,"inc wili","observed data"
1998-03-01,"hhs2",1.83647211533676,"inc wili","observed data"
1998-03-01,"hhs3",2.26006235070218,"inc wili","observed data"
1998-03-01,"hhs4",1.70601481107138,"inc wili","observed data"
1998-03-01,"hhs5",1.02117910788657,"inc wili","observed data"
1998-03-01,"hhs6",2.6735070767979,"inc wili","observed data"
1998-03-01,"hhs7",1.26723489749702,"inc wili","observed data"
1998-03-01,"hhs8",1.84055562972318,"inc wili","observed data"
1998-03-01,"hhs9",1.52452450972683,"inc wili","observed data"
1998-03-01,"nat",1.65732101788579,"inc wili","observed data"
1998-03-08,"hhs1",0.456623783256726,"inc wili","observed data"
1998-03-08,"hhs10",2.64695552481292,"inc wili","observed data"
1998-03-08,"hhs2",2.56171784586453,"inc wili","observed data"
1998-03-08,"hhs3",2.39205384527706,"inc wili","observed data"
1998-03-08,"hhs4",1.36966496342826,"inc wili","observed data"
1998-03-08,"hhs5",2.21213983296713,"inc wili","observed data"
1998-03-08,"hhs6",2.81253575634826,"inc wili","observed data"
1998-03-08,"hhs7",0.550836487789854,"inc wili","observed data"
1998-03-08,"hhs8",1.00800480514655,"inc wili","observed data"
1998-03-08,"hhs9",2.13712420656866,"inc wili","observed data"
1998-03-08,"nat",1.96952147076834,"inc wili","observed data"
1998-03-15,"hhs1",0.230780995425384,"inc wili","observed data"
1998-03-15,"hhs10",2.18053103471014,"inc wili","observed data"
1998-03-15,"hhs2",3.45004380829049,"inc wili","observed data"
1998-03-15,"hhs3",2.14616505074634,"inc wili","observed data"
1998-03-15,"hhs4",1.24686999695737,"inc wili","observed data"
1998-03-15,"hhs5",1.76994757190175,"inc wili","observed data"
1998-03-15,"hhs6",1.64110521056127,"inc wili","observed data"
1998-03-15,"hhs7",1.02868565685555,"inc wili","observed data"
1998-03-15,"hhs8",1.07432670636704,"inc wili","observed data"
1998-03-15,"hhs9",0.720646184906694,"inc wili","observed data"
1998-03-15,"nat",1.58544547179502,"inc wili","observed data"
1998-03-22,"hhs1",0.179348438814591,"inc wili","observed data"
1998-03-22,"hhs10",1.65978931482506,"inc wili","observed data"
1998-03-22,"hhs2",7.03319347654106,"inc wili","observed data"
1998-03-22,"hhs3",1.96565417990894,"inc wili","observed data"
1998-03-22,"hhs4",1.72773981332748,"inc wili","observed data"
1998-03-22,"hhs5",1.1110120563757,"inc wili","observed data"
1998-03-22,"hhs6",0.245826104123793,"inc wili","observed data"
1998-03-22,"hhs7",0.10084115019822,"inc wili","observed data"
1998-03-22,"hhs8",0,"inc wili","observed data"
1998-03-22,"hhs9",1.50724290722217,"inc wili","observed data"
1998-03-22,"nat",1.80474042232387,"inc wili","observed data"
1998-03-29,"hhs1",0.170639308815672,"inc wili","observed data"
1998-03-29,"hhs10",1.62918428028927,"inc wili","observed data"
1998-03-29,"hhs2",3.05540148750586,"inc wili","observed data"
1998-03-29,"hhs3",1.96820374584132,"inc wili","observed data"
1998-03-29,"hhs4",0.732376229655281,"inc wili","observed data"
1998-03-29,"hhs5",0.901380424471972,"inc wili","observed data"
1998-03-29,"hhs6",0.0794589427470847,"inc wili","observed data"
1998-03-29,"hhs7",0.260315284941939,"inc wili","observed data"
1998-03-29,"hhs8",0.922617522599063,"inc wili","observed data"
1998-03-29,"hhs9",0.741921378259343,"inc wili","observed data"
1998-03-29,"nat",1.04623964435058,"inc wili","observed data"
1998-04-05,"hhs1",0.12842327526404,"inc wili","observed data"
1998-04-05,"hhs10",1.86897763756128,"inc wili","observed data"
1998-04-05,"hhs2",5.39270809238381,"inc wili","observed data"
1998-04-05,"hhs3",1.86457127133701,"inc wili","observed data"
1998-04-05,"hhs4",0.860990455061529,"inc wili","observed data"
1998-04-05,"hhs5",0.819697763050067,"inc wili","observed data"
1998-04-05,"hhs6",0,"inc wili","observed data"
1998-04-05,"hhs7",0.34305263653666,"inc wili","observed data"
